user_id,calendar_day,calendar_date,day_name,category_description,activity_descriptions,time_spent_on_activity
1,1,1,1,4,16,50
1,2,2,2,3,4,2
1,2,2,2,3,5,6
1,2,2,2,3,17,2
1,2,2,2,4,16,38
1,2,2,2,4,11,16
1,3,3,3,4,16,48
1,4,4,4,3,5,16
1,4,4,4,3,17,6
1,4,4,4,3,3,16
1,4,4,4,3,15,16
1,4,4,4,4,16,36
1,4,4,4,1,7,32
1,5,5,5,3,6,16
1,5,5,5,1,7,48
1,5,5,5,4,16,44
1,5,5,5,4,11,16
1,5,5,5,2,2,32
1,6,6,6,3,4,32
1,6,6,6,3,3,2
1,6,6,6,3,6,16
1,6,6,6,3,17,2
1,6,6,6,3,15,16
1,6,6,6,4,16,36
1,6,6,6,1,7,6
1,6,6,6,2,2,32
1,7,7,7,3,4,32
1,7,7,7,3,3,16
1,7,7,7,3,15,16
1,7,7,7,4,16,34
1,7,7,7,4,11,2
1,7,7,7,2,14,6
1,8,8,1,3,15,16
1,8,8,1,3,17,16
1,8,8,1,3,18,6
1,8,8,1,4,16,34
1,8,8,1,2,14,2
1,8,8,1,1,7,32
1,8,8,1,3,4,16
1,8,8,1,3,3,6
1,8,8,1,2,2,32
1,8,8,1,4,11,16
1,8,8,1,1,13,2
1,9,9,2,4,16,28
1,9,9,2,1,12,48
1,9,9,2,4,11,16
1,9,9,2,1,14,16
1,9,9,2,3,18,32
1,10,10,3,4,16,36
1,10,10,3,3,5,32
1,10,10,3,3,17,15
1,10,10,3,4,11,16
1,10,10,3,4,10,6
1,10,10,3,3,18,6
1,10,10,3,3,15,16
1,10,10,3,3,3,16
1,10,10,3,2,2,6
1,10,10,3,1,7,16
1,11,11,4,4,16,28
1,11,11,4,3,18,32
1,11,11,4,3,5,6
1,11,11,4,3,17,32
1,11,11,4,3,15,16
1,11,11,4,3,4,16
1,11,11,4,1,13,2
1,11,11,4,1,8,10
1,11,11,4,1,3,16
1,11,11,4,1,7,16
1,11,11,4,4,11,2
1,12,12,5,4,16,32
1,12,12,5,3,4,32
1,12,12,5,3,3,16
1,12,12,5,3,18,16
1,12,12,5,4,11,16
1,12,12,5,4,9,48
1,12,12,5,4,14,2
1,12,12,5,1,3,16
1,12,12,5,3,15,16
1,13,13,6,4,16,32
1,13,13,6,3,5,20
1,13,13,6,3,17,48
1,13,13,6,3,15,16
1,13,13,6,4,9,48
1,13,13,6,2,6,2
1,13,13,6,1,19,6
1,14,14,7,4,16,28
1,14,14,7,1,3,6
1,14,14,7,3,5,14
1,14,14,7,3,17,11
1,14,14,7,3,15,16
1,14,14,7,2,2,32
1,14,14,7,4,10,9
1,15,15,1,3,6,16
1,15,15,1,4,16,32
1,15,15,1,1,3,32
1,15,15,1,2,2,16
1,15,15,1,4,10,16
1,15,15,1,3,18,16
1,15,15,1,3,15,16
1,16,16,2,4,16,36
1,16,16,2,3,5,32
1,16,16,2,3,17,11
1,16,16,2,4,11,16
1,16,16,2,3,4,16
1,16,16,2,2,2,6
1,16,16,2,3,18,16
1,17,17,3,4,16,32
1,17,17,3,4,14,6
1,17,17,3,3,5,48
1,17,17,3,3,17,6
1,17,17,3,3,15,16
1,17,17,3,3,18,2
1,17,17,3,4,10,32
1,17,17,3,4,11,16
1,17,17,3,1,6,16
1,17,17,3,2,2,6
1,18,18,4,4,16,36
1,18,18,4,1,3,32
1,18,18,4,4,11,10
1,18,18,4,3,15,16
1,19,19,5,4,16,32
1,19,19,5,4,14,6
1,19,19,5,3,4,16
1,19,19,5,3,3,16
1,19,19,5,2,9,48
1,19,19,5,2,2,6
1,19,19,5,4,11,6
1,20,20,6,4,16,32
1,20,20,6,3,15,16
1,20,20,6,3,4,6
1,20,20,6,3,3,16
1,20,20,6,4,10,5
1,20,20,6,4,11,16
1,20,20,6,4,17,2
1,20,20,6,3,18,2
1,21,21,7,4,16,26
1,21,21,7,4,14,3
1,21,21,7,4,11,16
1,21,21,7,3,4,16
1,21,21,7,3,3,3
1,21,21,7,3,15,16
1,21,21,7,3,5,32
1,21,21,7,3,17,6
1,21,21,7,3,6,16
1,22,22,1,4,16,28
1,22,22,1,4,14,7
1,22,22,1,4,11,32
1,22,22,1,1,7,16
1,22,22,1,4,10,7
1,22,22,1,3,15,16
1,22,22,1,2,2,6
1,23,23,2,4,16,36
1,23,23,2,3,3,6
1,23,23,2,3,13,2
1,23,23,2,3,18,14
1,23,23,2,4,11,16
1,23,23,2,3,15,16
1,23,23,2,3,17,2
1,24,24,3,4,16,32
1,24,24,3,3,18,48
1,24,24,3,1,6,2
1,24,24,3,1,3,32
1,24,24,3,4,11,6
1,24,24,3,4,10,7
1,24,24,3,2,2,16
1,25,25,4,4,16,40
1,25,25,4,4,14,2
1,25,25,4,4,11,10
1,25,25,4,4,10,5
1,25,25,4,3,15,2
1,25,25,4,3,4,6
1,25,25,4,3,3,9
1,26,26,5,4,16,28
1,26,26,5,4,14,3
1,26,26,5,4,11,6
1,26,26,5,3,18,6
1,26,26,5,3,15,16
1,26,26,5,3,5,15
1,26,26,5,3,17,7
