user_id,calendar_day,calendar_date,day_name,category_description,activity_descriptions,time_spent_on_activity
1,1,2019-05-06,Monday,Other,Sleep,12.5
1,2,2019-05-07,Tuesday,Project & Portfolio 2,Researching,0.5
1,2,2019-05-07,Tuesday,Project & Portfolio 2,Coding,1.5
1,2,2019-05-07,Tuesday,Project & Portfolio 2,Troubleshooting,0.5
1,2,2019-05-07,Tuesday,Other,Sleep,9.5
1,2,2019-05-07,Tuesday,Other,Eating,0.25
1,3,2019-05-08,Wednesday,Other,Sleep,12
1,4,2019-05-09,Thursday,Project & Portfolio 2,Coding,1
1,4,2019-05-09,Thursday,Project & Portfolio 2,Troubleshooting,1.5
1,4,2019-05-09,Thursday,Project & Portfolio 2,Writing,0.25
1,4,2019-05-09,Thursday,Project & Portfolio 2,Data Entry,0.25
1,4,2019-05-09,Thursday,Other,Sleep,9
1,4,2019-05-09,Thursday,Work,World-Building,2
1,5,2019-05-10,Friday,Project & Portfolio 2,Reading,0.25
1,5,2019-05-10,Friday,Work,World-Building,3
1,5,2019-05-10,Friday,Other,Sleep,11
1,5,2019-05-10,Friday,Other,Eating,0.25
1,5,2019-05-10,Friday,Relax,Watching WWE,2
1,6,2019-05-11,Saturday,Project & Portfolio 2,Researching,2
1,6,2019-05-11,Saturday,Project & Portfolio 2,Writing,0.5
1,6,2019-05-11,Saturday,Project & Portfolio 2,Reading,0.25
1,6,2019-05-11,Saturday,Project & Portfolio 2,Troubleshooting,0.5
1,6,2019-05-11,Saturday,Project & Portfolio 2,Data Entry,0.25
1,6,2019-05-11,Saturday,Other,Sleep,9
1,6,2019-05-11,Saturday,Work,World-Building,1.5
1,6,2019-05-11,Saturday,Relax,Watching WWE,2
1,7,2019-05-12,Sunday,Project & Portfolio 2,Researching,2
1,7,2019-05-12,Sunday,Project & Portfolio 2,Writing,1
1,7,2019-05-12,Sunday,Project & Portfolio 2,Data Entry,0.25
1,7,2019-05-12,Sunday,Other,Sleep,8.5
1,7,2019-05-12,Sunday,Other,Eating,0.5
1,7,2019-05-12,Sunday,Relax,Driving/In the car,1.5
1,8,2019-05-13,Monday,Project & Portfolio 2,Data Entry,1
1,8,2019-05-13,Monday,Project & Portfolio 2,Troubleshooting,0.25
1,8,2019-05-13,Monday,Project & Portfolio 2,Doing Homework,1.5
1,8,2019-05-13,Monday,Other,Sleep,8.5
1,8,2019-05-13,Monday,Relax,Driving/In the car,0.5
1,8,2019-05-13,Monday,Work,World-Building,2
1,8,2019-05-13,Monday,Project & Portfolio 2,Researching,1
1,8,2019-05-13,Monday,Project & Portfolio 2,Writing,1.5
1,8,2019-05-13,Monday,Relax,Watching WWE,2
1,8,2019-05-13,Monday,Other,Eating,0.25
1,8,2019-05-13,Monday,Work,Design Work,0.5
1,9,2019-05-14,Tuesday,Other,Sleep,7
1,9,2019-05-14,Tuesday,Work,Bookkeeping,3
1,9,2019-05-14,Tuesday,Other,Eating,0.25
1,9,2019-05-14,Tuesday,Work,Driving/In the car,1
1,9,2019-05-14,Tuesday,Project & Portfolio 2,Doing Homework,2
1,10,2019-05-15,Wednesday,Other,Sleep,9
1,10,2019-05-15,Wednesday,Project & Portfolio 2,Coding,2
1,10,2019-05-15,Wednesday,Project & Portfolio 2,Troubleshooting,3.75
1,10,2019-05-15,Wednesday,Other,Eating,1
1,10,2019-05-15,Wednesday,Other,Walking the dog,1.5
1,10,2019-05-15,Wednesday,Project & Portfolio 2,Doing Homework,1.5
1,10,2019-05-15,Wednesday,Project & Portfolio 2,Data Entry,0.25
1,10,2019-05-15,Wednesday,Project & Portfolio 2,Writing,0.25
1,10,2019-05-15,Wednesday,Relax,Watching WWE,1.5
1,10,2019-05-15,Wednesday,Work,World-Building,1
1,11,2019-05-16,Thursday,Other,Sleep,7
1,11,2019-05-16,Thursday,Project & Portfolio 2,Doing Homework,2
1,11,2019-05-16,Thursday,Project & Portfolio 2,Coding,1.5
1,11,2019-05-16,Thursday,Project & Portfolio 2,Troubleshooting,2
